No,Tháng,Năm,Khách hàng C2,Khách Hàng C1,Tỉnh,Tên hoạt động,Số lượng,Nhóm Sản phẩm,Sản Phẩm,Cây Trồng,SL Nông Dân,Đầu tư,Triển khai
199,Dec,2018,CTO-078,CTO003,Cần Thơ,FA,10.0,Fungicide,MAL,Mận,10,894500.0000000001,ST
200,Dec,2018,CTO-067,CTO003,Cần Thơ,FA,10.0,Fungicide,MAL,Sầu Riêng,10,894500.0000000001,ST
201,Dec,2018,HGG-087,CTO003,Cần Thơ,FA,10.0,Fungicide,FY,Lúa,10,894500.0000000001,ST
202,Dec,2018,KGG-026,CTO003,Cần Thơ,FA,5.0,Fungicide,FY,Lúa,5,447250.00000000006,ST
203,Nov,2018,CTO-094,CTO018,Cần Thơ,Demo,1.0,Fungicide,FY,Lúa,5,1592210.0000000002,ST
204,Nov,2018,CTO-094,CTO018,Cần Thơ,Demo,1.0,Fungicide,UQE,Lúa,5,1592210.0000000002,ST
205,Nov,2018,CTO-088,CTO018,Cần Thơ,Demo,1.0,Fungicide,FY,Lúa,5,1592210.0000000002,ST
206,Nov,2018,CTO-088,CTO018,Cần Thơ,Demo,1.0,Fungicide,UQE,Lúa,5,1592210.0000000002,ST
207,Nov,2018,CTO-048,CTO018,Cần Thơ,Demo,1.0,Fungicide,UQE,Sầu Riêng,5,1592210.0000000002,ST
208,Nov,2018,CTO-048,CTO018,Cần Thơ,Demo,1.0,Insecticide,MPT,Sầu Riêng,5,1592210.0000000002,ST
209,Dec,2018,CTO-031,CTO018,Cần Thơ,Demo,2.0,Insecticide,MPT,Nhãn,10,3184420.0000000005,ST
